Model: bk_classic-agent_100games
Game,Score,Record
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,1,1
12,0,1
13,0,1
14,0,1
15,1,1
16,1,1
17,0,1
18,1,1
19,0,1
20,1,1
21,1,1
22,0,1
23,1,1
24,0,1
25,1,1
26,1,1
27,1,1
28,0,1
29,1,1
30,1,1
31,2,2
32,1,2
33,1,2
34,1,2
35,0,2
36,1,2
37,0,2
38,0,2
39,1,2
40,2,2
41,1,2
42,1,2
43,1,2
44,0,2
45,0,2
46,1,2
47,1,2
48,1,2
49,0,2
50,1,2
51,2,2
52,0,2
53,3,3
54,0,3
55,2,3
56,3,3
57,2,3
58,1,3
59,2,3
60,3,3
61,1,3
62,3,3
63,4,4
64,0,4
65,1,4
66,0,4
67,1,4
68,0,4
69,2,4
70,1,4
71,1,4
72,2,4
73,0,4
74,3,4
75,0,4
76,0,4
77,0,4
78,8,8
79,7,8
80,8,8
81,0,8
82,0,8
83,0,8
84,29,29
85,38,38
86,29,38
87,4,38
88,0,38
89,35,38
90,24,38
91,61,61
92,47,61
93,38,61
94,43,61
95,0,61
96,33,61
97,43,61
98,33,61
99,29,61
100,34,61
