Model: bk_smart-agent_100games
Game,Score,Record
1,0,0
2,0,0
3,1,1
4,0,1
5,0,1
6,0,1
7,0,1
8,0,1
9,0,1
10,0,1
11,1,1
12,0,1
13,1,1
14,0,1
15,3,3
16,2,3
17,1,3
18,1,3
19,3,3
20,1,3
21,1,3
22,2,3
23,1,3
24,1,3
25,3,3
26,6,6
27,5,6
28,1,6
29,1,6
30,1,6
31,1,6
32,1,6
33,2,6
34,4,6
35,1,6
36,2,6
37,3,6
38,4,6
39,4,6
40,3,6
41,10,10
42,1,10
43,2,10
44,5,10
45,3,10
46,1,10
47,3,10
48,4,10
49,8,10
50,5,10
51,12,12
52,19,19
53,4,19
54,10,19
55,3,19
56,5,19
57,7,19
58,1,19
59,21,21
60,2,21
61,33,33
62,11,33
63,3,33
64,3,33
65,9,33
66,4,33
67,20,33
68,15,33
69,13,33
70,13,33
71,5,33
72,12,33
73,22,33
74,19,33
75,9,33
76,15,33
77,13,33
78,21,33
79,15,33
80,30,33
81,16,33
82,12,33
83,4,33
84,4,33
85,24,33
86,8,33
87,18,33
88,25,33
89,18,33
90,7,33
91,18,33
92,2,33
93,17,33
94,18,33
95,32,33
96,13,33
97,27,33
98,22,33
99,29,33
100,8,33
